node,state,P(state=1 | is_vul=0),P(state=1 | is_vul=1),delta_(is_vul=1-minus-0)
insert-node_Annotation_Parameter,1,0.005224951049549635,0.0,-0.005224951049549635
insert-node_BinaryOperator_If,0,0.9728653128686879,0.9892159728410845,0.016350659972396597
insert-node_BinaryOperator_If,1,0.027134687131313374,0.01078402715891475,-0.016350659972398623
insert-node_Block_If,0,0.9861091460723005,0.9967215240585263,0.01061237798622583
insert-node_Block_If,1,0.013890853927699997,0.00327847594147352,-0.010612377986226476
insert-node_ConstructorCall_Invocation,0,0.9964051310950638,0.9951446032947435,-0.0012605278003202658
insert-node_ConstructorCall_Invocation,1,0.0035948689049363517,0.004855396705256257,0.001260527800319905
insert-node_ConstructorCall_LocalVariable,0,0.9980152364315125,0.9954847831479743,-0.002530453283538181
insert-node_ConstructorCall_LocalVariable,1,0.0019847635684874716,0.0045152168520256305,0.002530453283538159
insert-node_FieldRead_ConstructorCall,0,0.9896324525992934,0.9984842837304118,0.008851831131118315
insert-node_FieldRead_ConstructorCall,1,0.010367547400706875,0.0015157162695882149,-0.00885183113111866
insert-node_FieldRead_Return,0,0.9993894655226224,0.9975058813727752,-0.0018835841498472394
insert-node_FieldRead_Return,1,0.0006105344773774857,0.0024941186272246815,0.0018835841498471958
insert-node_Invocation_ConstructorCall,0,0.99492412856749,0.9994010759274364,0.004476947359946415
insert-node_Invocation_ConstructorCall,1,0.0050758714325102,0.000598924072563483,-0.004476947359946718
insert-node_Invocation_Invocation,0,0.9416031490646689,0.974192540220615,0.03258939115594606
insert-node_Invocation_Invocation,1,0.05839685093533366,0.02580745977938332,-0.03258939115595034
insert-node_Invocation_LocalVariable,0,0.9738467454948662,0.9969458669892554,0.023099121494389196
insert-node_Invocation_LocalVariable,1,0.026153254505135257,0.003054133010744403,-0.023099121494390855
insert-node_Invocation_Return,0,0.990046729171679,0.9908454140231963,0.0007986848515172396
insert-node_Invocation_Return,1,0.009953270828321462,0.009154585976803136,-0.0007986848515183255
insert-node_Parameter_Method,0,0.9723841067697279,0.9933740236119623,0.02098991684223439
insert-node_Parameter_Method,1,0.027615893230273556,0.0066259763880373605,-0.020989916842236195
insert-node_TypeAccess_Invocation,0,0.9832119261675607,0.9932411830627692,0.010029256895208505
insert-node_TypeAccess_Invocation,1,0.016788073832440104,0.006758816937230465,-0.01002925689520964
insert-node_TypeReference_Invocation,0,0.9995929770150818,0.9961566125317679,-0.0034363644833138585
insert-node_TypeReference_Invocation,1,0.0004070229849183238,0.0038433874682318593,0.0034363644833135354
insert-node_VariableRead_Invocation,0,0.9602026476344632,0.9752681435688049,0.0150654959343417
insert-node_VariableRead_Invocation,1,0.039797352365538406,0.024731856431193827,-0.015065495934344579
insert-node_VirtualElement_Annotation,0,0.9947373704132959,0.9999199837512087,0.005182613337912811
insert-node_VirtualElement_Annotation,1,0.005262629586704332,8.001624879124234e-05,-0.00518261333791309
move-tree_BinaryOperator_Assignment,0,0.9992801653028327,0.9974087808371422,-0.0018713844656904621
move-tree_BinaryOperator_Assignment,1,0.0007198346971672468,0.0025912191628575387,0.001871384465690292
move-tree_BinaryOperator_LocalVariable,0,0.9967305563215704,0.993410638219733,-0.0033199181018374047
move-tree_BinaryOperator_LocalVariable,1,0.0032694436784298166,0.006589361780266643,0.0033199181018368266
move-tree_UnaryOperator_BinaryOperator,0,0.9967911695764006,0.9956836090529628,-0.001107560523437745
move-tree_UnaryOperator_BinaryOperator,1,0.0032088304235995354,0.004316390947036975,0.0011075605234374393
move-tree_VariableRead_BinaryOperator,0,0.9812038134775672,0.9811750466589659,-2.876681860131125e-05
move-tree_VariableRead_BinaryOperator,1,0.018796186522433218,0.01882495334103288,2.8766818599663263e-05
update-node_TypeAccess_ThisAccess,0,0.9824456029833387,0.9794635354296716,-0.002982067553667145
update-node_TypeAccess_ThisAccess,1,0.01755439701666219,0.020536464570327227,0.002982067553665039
